,message_url,From,Subject,Date,body
0,https://politicalemails.org/messages/1067124,Donald J. Trump,The TRUTH about JANUARY 6th,"June 3, 2023 6:02 PM","Liquid error: Internal error I hope you’ve seen Tucker Carlson’s big “scoop.” ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ <[link removed]>John, The Bible tells us, “The truth will set you free.” I am thankful that Tucker Carlson played new surveillance footage that sheds an entirely different light on what actually happened in the Capitol on January 6th. The Fake News and the Unselect Committee wanted you to believe that these Americans were hunting down members of Congress and had even murdered a police officer. But it was all a manufactured LIE. Footage shows January 6th protesters being *LED* by police officers as though they were on a guided tour of the Capitol. It also REFUTES the Democrats’ lie that a police officer was killed by protesters.Let’s not forget that the Left spent 2 YEARS lying about us and using January 6th as a taxpayer-funded televised drama to smear us. They hoped that January 6th would be the final nail in the coffin of our America First movement – but now the truth is finally coming out, and our movement will prevail just like we always have.Please make a contribution to DEFEND our movement from the Left’s never-ending witch hunts and attacks – for 1,200% impact. <[link removed]>CONTRIBUTE $24 >> <[link removed]>CONTRIBUTE $47 >> <[link removed]>CONTRIBUTE $75 >> <[link removed]>CONTRIBUTE $100 >> <[link removed]>CONTRIBUTE $250 >> <[link removed]>CONTRIBUTE OTHER AMOUNT  >> <[link removed]>You know the January 6th footage is damning for Democrats when Chuck Schumer has to run down to the Senate floor and demand that the head of Fox News censor it.But this is how the Marxist Left operates.They cover up the truth and feed people manufactured lies.Are we surprised that the same media outlets that have pushed lies about January 6th also said this about the riots of summer 2020? <[link removed]>And to top it all off, the same Democrats who pretend to care about January 6th also support the Soros-funded prosecutors who are letting truly VIOLENT criminals and repeat offenders get away with a slap on the wrist.When I’m back in the White House, we will immediately correct our broken justice system and restore TRUE law and order in America.But to win back the White House, it’s clear that the Left is going to put up a nasty fight. The fact that they would stoop so low as to lie about the death of a police officer and use it as a political weapon shows you just how vicious of a battle 2024 will be.We have no choice but to win back the White House and save America – and victory can only be achieved with YOUR support.So please, make a contribution to DEFEND our movement from the Left’s never-ending witch hunts and attacks – for 1,200% impact. <[link removed]>Thank you, <[link removed]>Donald J. Trump 45th President of the United States ######### Paid for by Trump Save America Joint Fundraising Committee, a joint fundraising committee composed of and authorized by Donald J. Trump for President 2024, Inc. and Save America. www.donaldjtrump.com ######### This email was sent to [email protected] . Trump Save America JFC, P.O. Box 13570, Arlington, VA 22219, United States Contributions to Trump Save America JFC are not tax deductible for federal income tax purposes. Unsubscribe: [link removed]"
1,https://politicalemails.org/messages/1066946,Donald J. Trump,Sadly...,"June 3, 2023 2:54 PM","Liquid error: Internal error <[link removed]> John, Every Republican elected official should be UNITED in outrage at what the Deep State has done to me and the America First movement. But sadly, some Republicans want to shy away from the topic, because they say they get tired of all the Deep State “drama.” <[link removed]> John, the weaponization of the FBI is one of the single biggest threats to our free Republic. My home has been raided. I was framed as a Russian asset. My family and associates have been intimidated. My private communications have been spied on. I’ve even been indicted and arrested – despite committing NO CRIME. And it’s not just me… Everyday, hardworking, freedom-loving patriots are also being targeted for holding views that go against the Deep State. That’s not “drama.” That’s a declaration of war on everything we value as Americans. <[link removed]> If these politicians get fatigued from a bit of “drama,” then the Deep State will eat them alive. They will not rise to the challenge to defend our Republic, and most importantly, defend YOU. But even though the Deep State has put me through hell, I am ready to do it again! Because I love our country, and I will NEVER let it get destroyed. <[link removed]> It’s no surprise that we’re leading the primary by 50 POINTS. Voters know that during these dark times, we need courage – not cowardice – in the White House. The time has now come to solidify our lead so that we can turn our focus 100% to beating Crooked Joe Biden and DISMANTLING the Deep State. Let’s finish the job we started, dismantle the Deep State, and MAKE AMERICA GREAT AGAIN! Please make a contribution to WRAP UP the primary so that we can focus on our REAL mission of firing Biden and DESTROYING THE DEEP STATE – for 1,500% impact. <[link removed]> Contribute $24 >> <[link removed]>Contribute $47 >> <[link removed]>Contribute $75 >> <[link removed]>Contribute $100 >> <[link removed]>Contribute $250 >> <[link removed]>Contribute Other Amount >> <[link removed]> Thank you, <[link removed]> Donald J. Trump 45th President of the United States ######### Paid for by Trump Save America Joint Fundraising Committee, a joint fundraising committee composed of and authorized by Donald J. Trump for President 2024, Inc. and Save America. www.donaldjtrump.com ######### This email was sent to [email protected] . Trump Save America JFC, P.O. Box 13570, Arlington, VA 22219, United States Contributions to Trump Save America JFC are not tax deductible for federal income tax purposes. Unsubscribe: [link removed]"
2,https://politicalemails.org/messages/1066780,"Donald J. Trump, me (2)",FW: $1 is all it takes,"June 3, 2023 11:30 AM","Liquid error: Internal error John, I know it often feels like the cards are stacked against hardworking Americans, against the Silent Majority, against YOU. How could you not feel that way considering all the Left’s vicious witch hunts, their lies and attacks, their endless election interference, their pursuit to cancel out YOUR VOTE, and Soros’ $75,000,000 scheme to BUY the White House for Crooked Joe <[link removed]>… …But there’s ONE thing Soros and the radical Democrats underestimate time and time again: the nearly 75 MILLION patriots like you who make up our incredible MAGA movement. No matter how vicious the attacks become, YOU are my courage, my hope, and my unbreakable resolve to SAVE AMERICA. Together, we can, we will, and we MUST win in 2024, because if we lose, we don’t just lose an election, we lose our country to Marxist tyranny. <[link removed]> And all it takes to STOP Soros and Crooked Joe’s $75,000,000 scheme is $1 from patriots like YOU. If every one of our 75 million supporters contributes just $1, Soros won’t stand a chance. <[link removed]> So please, make a contribution of just $1 to FIGHT BACK against Soros and Crooked Joe’s $75,000,000 scheme to BUY the White House – for 1,500% impact. <[link removed]> <[link removed]> Contribute $1 >> <[link removed]>Contribute $24 >> <[link removed]>Contribute $47 >> <[link removed]>Contribute $100 >> <[link removed]>Contribute $250 >> <[link removed]>Contribute Other Amount >> <[link removed]> Thank you, <[link removed]> Donald J. Trump 45th President of the United States ---------- Forwarded message --------- From: Donald J. Trump Date: Sat, May 20, 2023 Subject: Soros & Crooked Joe’s 2024 scheme To: < [email protected] > <[link removed]> John, Biden’s campaign just revealed which states it plans to target the most in 2024: Michigan, Wisconsin, and Pennsylvania And oddly enough, they’re the exact same battleground states in which a Soros-linked Super PAC just pledged to spend $75 MILLION. <[link removed]> This was Soros’ plan all along – to BUY the White House for his favorite corrupt puppet, Crooked Joe. But YOU have a choice, John. We don’t have to stand idly by while these radical lunatics and globalist special interests DESTROY our country from within. With YOUR support, we will counter them every step of the way and WIN BACK the White House. Because remember, there’s only ONE Soros, but there are more than 74 MILLION of us. <[link removed]> So, if you’re not doing too poorly right now despite Biden’s disastrous policies, please make a contribution to our Battleground Victory Fund for 1,500% impact to fight back against Soros and Crooked Joe’s $75,000,000 scheme to BUY the White House. <[link removed]> <[link removed]> Contribute $24 >> <[link removed]>Contribute $47 >> <[link removed]>Contribute $75 >> <[link removed]>Contribute $100 >> <[link removed]>Contribute $250 >> <[link removed]>Contribute Other Amount >> <[link removed]> Thank you, <[link removed]> Donald J. Trump 45th President of the United States ######### Paid for by Trump Save America Joint Fundraising Committee, a joint fundraising committee composed of and authorized by Donald J. Trump for President 2024, Inc. and Save America. www.donaldjtrump.com ######### This email was sent to [email protected] . Trump Save America JFC, P.O. Box 13570, Arlington, VA 22219, United States Contributions to Trump Save America JFC are not tax deductible for federal income tax purposes. Unsubscribe: [link removed]"
3,https://politicalemails.org/messages/1066529,Building Our Movement,"News Update:   Bizarre New Marriage Trend Goes Viral - You Won't Believe What These ""Brides"" Are Doing Now","June 2, 2023 10:01 PM","[link removed] [link removed] Bizarre New Marriage Trend Goes Viral - You Won't Believe What These ""Brides"" Are Doing Now [link removed] Read Now [link removed] [link removed] After McEnany Gives Trump ""Bad"" News - Donald Delivers an Unexpected Response [link removed] Read More [link removed] [link removed] Biden White House Leaves Americans Speechless - Top Leader Gives Infuriating Corruption Response [link removed] Read More [link removed] [link removed] Truth by Donald J. Trump Click below to see the latest Truth from Donald Trump [link removed] Read Now Copyright (c) 2023  Building Our Movement 190 Monroe Avenue Ste 300 Grand Rapids, MI, 49503, US Click [link removed] Here to unsubscribe from Building Our Movement. To Unsubscribe by email, please reply to this message with ""Unsubscribe"" as the Subject Line. [link removed] Click [link removed] Here to unsubscribe from all communication . You can read our [link removed] Privacy Policy Here"
4,https://politicalemails.org/messages/1066509,"Donald Trump, Jr.",RE: My father’s arrest,"June 2, 2023 9:45 PM","Liquid error: Internal error <[link removed]> John, My father was arrested despite having committee NO CRIME It’s hard to believe that I just typed those words. It’s hard to believe something so tyrannical could happen in America… …But this is the reality of our country now that the Radical Left Democrats run America. As you know — and as I’ve personally witnessed my entire life — my father is a WARRIOR. He will not let this sham indictment stop our mission to Make America Great Again! Our movement will prevail — just as we’ve prevailed after every other vicious attack. Following my father’s arrest, I’m asking you to watch these inspirational words from President Donald J. Trump. <[link removed]> <[link removed]> Watch Now >>  <[link removed]> Please watch the video — and consider making a contribution to SAVE AMERICA — for 1,500% impact. <[link removed]> Thank you, <[link removed]> Donald Trump, Jr. ######### Paid for by Trump Save America Joint Fundraising Committee, a joint fundraising committee composed of and authorized by Donald J. Trump for President 2024, Inc. and Save America. www.donaldjtrump.com ######### This email was sent to [email protected] . Trump Save America JFC, P.O. Box 13570, Arlington, VA 22219, United States Contributions to Trump Save America JFC are not tax deductible for federal income tax purposes. Unsubscribe: [link removed]"
5,https://politicalemails.org/messages/1066196,Donald J. Trump,$1 makes all the difference,"June 2, 2023 6:31 PM","Liquid error: Internal error <[link removed]> John, A contribution of just $1 to our grassroots campaign is not just some symbolic gesture, because we’re not just any old political movement. Our beautiful MAGA movement is unlike any other in history… WE’RE 75 MILLION STRONG! <[link removed]> You see, when you’re a part of the greatest political movement of all time where millions and millions of patriots are banding together to save their country, even $1 makes all the difference. $1 is the difference between FREEDOM and Third World Marxist tyranny. $1 is the difference between TRUE JUSTICE and endless witch hunts. $1 is the difference between SECURITY and wide-open borders. $1 is the difference between the GREATEST NATION in the history of the world and a nation laughed at all around the world. Because in 2024, $1 is the difference between VICTORY and defeat. <[link removed]> So please, make a grassroots contribution of just $1 – or any amount you can – to help WIN BACK the White House and MAKE AMERICA GREAT AGAIN. <[link removed]> <[link removed]> CONTRIBUTE $1 >>  <[link removed]> CONTRIBUTE OTHER AMOUNT  <[link removed]> Thank you, <[link removed]> Donald J. Trump 45th President of the United States ######### Paid for by Trump Save America Joint Fundraising Committee, a joint fundraising committee composed of and authorized by Donald J. Trump for President 2024, Inc. and Save America. www.donaldjtrump.com ######### This email was sent to [email protected] . Trump Save America JFC, P.O. Box 13570, Arlington, VA 22219, United States Contributions to Trump Save America JFC are not tax deductible for federal income tax purposes. Unsubscribe: [link removed]"
6,https://politicalemails.org/messages/1065943,Official Trump Alerts,June 2nd Update,"June 2, 2023 4:02 PM",FATAL ERROR: Failed to parse this email
7,https://politicalemails.org/messages/1065837,Donald J. Trump,Harassing my staff,"June 2, 2023 2:46 PM","Liquid error: Internal error <[link removed]> John, As I wrote to you in an email yesterday, I’m used to the Deep State’s attacks against me. When you run for president as a political outsider and pledge to drain the swamp and root out corruption, you are going to be mercilessly attacked. <[link removed]> But I will NEVER get used to the vicious attacks against my supporters, my associates, and my family members. That’s why I’m disgusted that the Biden-appointed Special Counsel is harassing, threatening, and terrorizing my staff. <[link removed]> The Deep State only attacks me, because I give a voice to YOU, the American people. They would have ZERO SHAME framing you, harassing you, or threatening you if you stood in their way. But in 2024, We The People will once again take back the reins of our country and save our Republic before it’s lost for good. So please, make a contribution to SAVE AMERICA – for 1,500% impact. <[link removed]> Contribute $24 >> <[link removed]>Contribute $47 >> <[link removed]>Contribute $75 >> <[link removed]>Contribute $100 >> <[link removed]>Contribute $250 >> <[link removed]>Contribute Other Amount >> <[link removed]> Thank you, <[link removed]> Donald J. Trump 45th President of the United States ######### Paid for by Trump Save America Joint Fundraising Committee, a joint fundraising committee composed of and authorized by Donald J. Trump for President 2024, Inc. and Save America. www.donaldjtrump.com ######### This email was sent to [email protected] . Trump Save America JFC, P.O. Box 13570, Arlington, VA 22219, United States Contributions to Trump Save America JFC are not tax deductible for federal income tax purposes. Unsubscribe: [link removed]"
8,https://politicalemails.org/messages/1065229,Team Trump,Before he takes the stage...,"June 1, 2023 8:43 PM","Liquid error: Internal error <[link removed]> John, President Trump’s town hall with Sean Hannity airs at 9:00 P.M. ET TONIGHT. Tonight’s town hall is all about listening and speaking to grassroots Republican primary voters like YOU. So, before the President takes the stage to answer questions from voters and talk about his plans to MAKE AMERICA GREAT AGAIN, we want to show him a special list of grassroots supporters who made a contribution to kick off June. <[link removed]> The size of your contribution isn’t what matters, but rather to show the sheer number of patriots in our ranks as global special interests try to get away with BUYING the White House in 2024. President Trump would love nothing more than to be able to point to the STRENGTH of our grassroots fundraising during tonight’s town hall. <[link removed]> But, of course, if you can’t donate right now, don’t feel pressured to. President Trump’s goal is to make YOUR life great again. He would never want you to incur a cost that you can’t afford. Very soon, he’ll be back in the White House, and America will come ROARING BACK! So please, make a contribution before President Trump takes the stage to be part of this special list of grassroots donors. <[link removed]> Contribute $24 >> <[link removed]>Contribute $47 >> <[link removed]>Contribute $75 >> <[link removed]>Contribute $100 >> <[link removed]>Contribute $250 >> <[link removed]>Contribute Other Amount >> <[link removed]> Thank you, Team Trump ######### Paid for by Trump Save America Joint Fundraising Committee, a joint fundraising committee composed of and authorized by Donald J. Trump for President 2024, Inc. and Save America. www.donaldjtrump.com ######### This email was sent to [email protected] . Trump Save America JFC, P.O. Box 13570, Arlington, VA 22219, United States Contributions to Trump Save America JFC are not tax deductible for federal income tax purposes. Unsubscribe: [link removed]"
9,https://politicalemails.org/messages/1064909,Donald J. Trump,Only if you can keep it...,"June 1, 2023 5:24 PM","Liquid error: Internal error <[link removed]> John, Our Founding Fathers warned that America would be “A Republic, IF you can keep it…” 236 years after that warning was given, shadowy agents within our federal government are now plotting ways to SUBVERT the will of the American people by persecuting the ruling class’s opponents, framing them, spying on them, and even arresting them. The 2024 election will determine whether we can keep our Republic or whether America has succumbed to the dark forces of tyranny. <[link removed]> <[link removed]> Biden and the radical Democrats know that it’s going to take an entire movement to stop the Deep State from turning America into a tyrannical Marxist nation. Which is why what they fear above all else is the collective power of the more than 74 MILLION patriots who make up our MAGA movement – the greatest grassroots political movement in history. So, I ask you only this, John: Are YOU willing to help me keep our Republic? <[link removed]> Please make a contribution of ANY amount – truly, even just $1 – to help WIN BACK the White House and SAVE AMERICA in 2024. <[link removed]> <[link removed]> Contribute $1 >> <[link removed]>Contribute $24 >> <[link removed]>Contribute $47 >> <[link removed]>Contribute $100 >> <[link removed]>Contribute $250 >> <[link removed]>Contribute Other Amount >> <[link removed]> Thank you, <[link removed]> Donald J. Trump 45th President of the United States ######### Paid for by Trump Save America Joint Fundraising Committee, a joint fundraising committee composed of and authorized by Donald J. Trump for President 2024, Inc. and Save America. www.donaldjtrump.com ######### This email was sent to [email protected] . Trump Save America JFC, P.O. Box 13570, Arlington, VA 22219, United States Contributions to Trump Save America JFC are not tax deductible for federal income tax purposes. Unsubscribe: [link removed]"
10,https://politicalemails.org/messages/1064798,Official Trump Alerts,June 1st Update,"June 1, 2023 4:03 PM",FATAL ERROR: Failed to parse this email
11,https://politicalemails.org/messages/1064621,Donald J. Trump,BIDEN ANNOUNCES RE-ELECTION,"June 1, 2023 1:55 PM","Liquid error: Internal error <[link removed]> John, Joe Biden – the single worst president in American history – is officially running for re-election. Hopeless Joe’s special interest donors are spending MILLIONS of dollars today to launch Biden’s campaign and keep their corrupt puppet in the White House. …But with YOUR help, today will be the moment his presidency begins its END. <[link removed]> To make that a reality, every 1 minute that goes by today, we’re counting on another 5,000 grassroots donors like YOU to step up and contribute. <[link removed]> It’s not the size of your contribution that matters, but the sheer number of patriots in our ranks who stepped up today to FIRE Biden and Save America. Please make a contribution to FIRE BIDEN and DROWN OUT his Re-election Announcement Day – for 1,500% impact. <[link removed]> Contribute $24 >> <[link removed]>Contribute $47 >> <[link removed]>Contribute $75 >> <[link removed]>Contribute $100 >> <[link removed]>Contribute $250 >> <[link removed]>Contribute Other Amount >> <[link removed]> When Biden’s Attorney General ordered the FBI to RAID my home, it BACKFIRED with a surge of donations to our campaign. When Biden’s party had me ARRESTED to try and end our presidential campaign, it BACKFIRED with a surge of donations to our campaign. And when Biden’s talking heads in the Fake News CENSORED my donation code to stop our flow of grassroots donations, you guessed it… it BACKFIRED with a surge of donations to our campaign. Today will be no different. Biden’s announcement will backfire like never before. No matter how many checks his special interest donors write, grassroots donors giving $1, $5, $15, $24, $47, etc., will DROWN OUT Hopeless Joe’s Announcement Day and shift the spotlight to our America First movement. <[link removed]> But it can only happen if YOU step up and contribute. <[link removed]> Please make a contribution to FIRE BIDEN and DROWN OUT his Re-election Announcement Day – for 1,500% impact. <[link removed]> Thank you, <[link removed]> Donald J. Trump 45th President of the United States ######### Paid for by Trump Save America Joint Fundraising Committee, a joint fundraising committee composed of and authorized by Donald J. Trump for President 2024, Inc. and Save America. www.donaldjtrump.com ######### This email was sent to [email protected] . Trump Save America JFC, P.O. Box 13570, Arlington, VA 22219, United States Contributions to Trump Save America JFC are not tax deductible for federal income tax purposes. Unsubscribe: [link removed]"
12,https://politicalemails.org/messages/1064339,Donald J. Trump,I might be giving you a call,"June 1, 2023 12:19 AM","Liquid error: Internal error <[link removed]> John, Our campaign is about to cross the $15 MILLION MARK <[link removed]> since George Soros’ prosecutor indicted and then arrested me. It could truly happen any moment now… To show my absolute gratitude for our grassroots donors, I am going to personally CALL the donor who officially puts us across the $15,000,000 mark! <[link removed]> Will I be calling you, John? <[link removed]> Please make a contribution to help us OFFICIALLY cross $15,000,000 since the indictment – and I’ll give the donor who puts us over the top a THANK YOU CALL. <[link removed]> Contribute $24 >> <[link removed]>Contribute $47 >> <[link removed]>Contribute $75 >> <[link removed]>Contribute $100 >> <[link removed]>Contribute $250 >> <[link removed]>Contribute Other Amount >> <[link removed]> Soros thought he could get away with spending $1,000,000 to elect a prosecutor to do his dirty work. But Soros yet again underestimated the strength of our movement. Soros wasn’t just targeting me – but the millions and millions of patriots who peacefully make up our movement. And to show my gratitude for the millions of donors who make up our movement, I’m going to call the one donor who officially puts us over the $15 million mark – which could happen any moment now! <[link removed]> So please, make a contribution to help us OFFICIALLY cross $15,000,000 since the indictment – and I’ll give the donor who puts us over the top a THANK YOU CALL. <[link removed]> Thank you, <[link removed]> Donald J. Trump 45th President of the United States ######### Paid for by Trump Save America Joint Fundraising Committee, a joint fundraising committee composed of and authorized by Donald J. Trump for President 2024, Inc. and Save America. www.donaldjtrump.com ######### This email was sent to [email protected] . Trump Save America JFC, P.O. Box 13570, Arlington, VA 22219, United States Contributions to Trump Save America JFC are not tax deductible for federal income tax purposes. Unsubscribe: [link removed]"
13,https://politicalemails.org/messages/1063974,Donald J. Trump,The TRUTH about JANUARY 6th,"May 31, 2023 8:56 PM","Liquid error: Internal error I hope you’ve seen Tucker Carlson’s big “scoop.” ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ <[link removed]>John, The Bible tells us, “The truth will set you free.” I am thankful that Tucker Carlson played new surveillance footage that sheds an entirely different light on what actually happened in the Capitol on January 6th. The Fake News and the Unselect Committee wanted you to believe that these Americans were hunting down members of Congress and had even murdered a police officer. But it was all a manufactured LIE. Footage shows January 6th protesters being *LED* by police officers as though they were on a guided tour of the Capitol. It also REFUTES the Democrats’ lie that a police officer was killed by protesters.Let’s not forget that the Left spent 2 YEARS lying about us and using January 6th as a taxpayer-funded televised drama to smear us. They hoped that January 6th would be the final nail in the coffin of our America First movement – but now the truth is finally coming out, and our movement will prevail just like we always have.Please make a contribution to DEFEND our movement from the Left’s never-ending witch hunts and attacks – for 1,200% impact. <[link removed]>CONTRIBUTE $24 >> <[link removed]>CONTRIBUTE $47 >> <[link removed]>CONTRIBUTE $75 >> <[link removed]>CONTRIBUTE $100 >> <[link removed]>CONTRIBUTE $250 >> <[link removed]>CONTRIBUTE OTHER AMOUNT  >> <[link removed]>You know the January 6th footage is damning for Democrats when Chuck Schumer has to run down to the Senate floor and demand that the head of Fox News censor it.But this is how the Marxist Left operates.They cover up the truth and feed people manufactured lies.Are we surprised that the same media outlets that have pushed lies about January 6th also said this about the riots of summer 2020? <[link removed]>And to top it all off, the same Democrats who pretend to care about January 6th also support the Soros-funded prosecutors who are letting truly VIOLENT criminals and repeat offenders get away with a slap on the wrist.When I’m back in the White House, we will immediately correct our broken justice system and restore TRUE law and order in America.But to win back the White House, it’s clear that the Left is going to put up a nasty fight. The fact that they would stoop so low as to lie about the death of a police officer and use it as a political weapon shows you just how vicious of a battle 2024 will be.We have no choice but to win back the White House and save America – and victory can only be achieved with YOUR support.So please, make a contribution to DEFEND our movement from the Left’s never-ending witch hunts and attacks – for 1,200% impact. <[link removed]>Thank you, <[link removed]>Donald J. Trump 45th President of the United States ######### Paid for by Trump Save America Joint Fundraising Committee, a joint fundraising committee composed of and authorized by Donald J. Trump for President 2024, Inc. and Save America. www.donaldjtrump.com ######### This email was sent to [email protected] . Trump Save America JFC, P.O. Box 13570, Arlington, VA 22219, United States Contributions to Trump Save America JFC are not tax deductible for federal income tax purposes. Unsubscribe: [link removed]"
